"LEGAL_NAME","ACCOUNT_TYPE_CODE","ACCOUNT_TYPE","PHYSICAL_ADDRESS_STATE","Physical_Address_ZIP_Code1"
"BARTLETT & MADERE","1525","Retail Dealer","LA","70815"
"DAVID M HOGAN","1525","Retail Dealer","LA","70815"
"T & H INC","1520","Service/Rental/Etc","LA","70816"
"LOUISIANA RESERVE LIFE INS","6000","Insurance Company","LA","70806"
"DIAMOND FOODS LLC","1525","Retail Dealer","LA","70816"
"CHRIBRAN CO LLC","2710","Contractor","LA","70809"
"PERMANENT COATINGS INC","9999","No Occupational License","LA","70726"
"RENT A CENTER INC","1525","Retail Dealer","LA","70815"
"TAYLOR PLUMBING & HEATING INC","2710","Contractor","LA","70807"
"TEXAS BOOK COMPANY","1525","Retail Dealer","LA","70806"
"DUD HINES JR","1520","Service/Rental/Etc","LA","70811"
"EARL LATHERS","1520","Service/Rental/Etc","LA","70802"
"BOWDEN ENTERPRISES INC","1525","Retail Dealer","LA","70815"
"THE GANIM CO INC","9999","No Occupational License","LA","70506"
"STEACYLEA B WHITE","1525","Retail Dealer","LA","70827"
"P J LOUISIANA INC","1525","Retail Dealer","LA","70809"
"EMERGENCY ALERT INC","1520","Service/Rental/Etc","LA","70815"
"ACADIANA COATINGS & SUPPLY INC","9999","No Occupational License","LA","70529"
"OUTBACK PLUMBING & MECH INC","2710","Contractor","LA","70809"
"THE BOOK EXCHANGE II INC","1525","Retail Dealer","LA","70815"
"SULLIVAN OIL CO","1530","Retail Dealer of Motor Fuels","LA","70816"
"BLOCK DICKSON INC","9999","No Occupational License","LA","70123"
"HP SAFETY & SUPPLY INC","9999","No Occupational License","LA","70508"
"EATEL COMMUNICATIONS INC","9999","No Occupational License","LA","70737"
"CAROLYN D BREAUX","1525","Retail Dealer","LA","70808"
"DAVID CASHEN","1525","Retail Dealer","LA","70815"
"ROBIN PILCHER","1520","Service/Rental/Etc","LA","70815"
"VANGUARD SALON SYSTEMS INC","1610","Wholesale Dealer","LA","70817"
"THE DENT GROUP LLC","1520","Service/Rental/Etc","LA","70801"
"MATRIX INC","2090","Professional","LA","70806"
"TITLES R US INC","1520","Service/Rental/Etc","LA","70816"
"LAKE HOUSE RECEPTION CENTER LTD","1520","Service/Rental/Etc","LA","70816"
"DEMCO ENERGY SERVICES INC","9999","No Occupational License","LA","70739"
"LA GREENHOUSE ENTERPRISES LLC","1525","Retail Dealer","LA","70810"
"SEAN BRANDON REEVES","1520","Service/Rental/Etc","LA","70816"
"SYCAMORE HYDRAULICS LLC","9999","No Occupational License","LA","70435"
"TWEEN BRANDS INC","1525","Retail Dealer","LA","70836"
"BAYOU RADIATION ONCOLOGY INC","2090","Professional","LA","70806"
"CAROL BEAUCOUDRAY","1520","Service/Rental/Etc","LA","70816"
"ADV AMER CASH ADV CTR OF LA LL","1710","Finance Lending","LA","70806"
"ADV AMER CASH ADV CTR OF LA IN","1710","Finance Lending","LA","70815"
"VERLON B ROY SR","1525","Retail Dealer","LA","70714"
"ROBERT MCCANN","9999","No Occupational License","LA","70791"
"PHILLIP SCHAMBURGE","1520","Service/Rental/Etc","LA","70807"
"BERLIN PACKING LLC","9999","No Occupational License","LA","70087"
"AMERICAN DOOR & HARDWARE LLC","1610","Wholesale Dealer","LA","70802"
"JAMES M MADDOX JR","2710","Contractor","LA","70817"
"WATCHTOWER SECURITY INC","1520","Service/Rental/Etc","LA","70806"
"CHRISTOPHER ZIZZI","1520","Service/Rental/Etc","LA","70816"
"EXPRESS MARKETING  INC","1520","Service/Rental/Etc","LA","70809"
"GARY BALLEIN","9999","No Occupational License","LA","70791"
"STONE VENTA IMPORTS LLC","1610","Wholesale Dealer","LA","70809"
"AGANETTE HARRIS","1520","Service/Rental/Etc","LA","70777"
"MCCARTY  ANNE","9999","No Occupational License","LA","70791"
"LYNNE JORDAN","1520","Service/Rental/Etc","LA","70806"
"J MATTHEW RANDALL DMD DENT LLC","1520","Service/Rental/Etc","LA","70808"
"SOUTHERN DENTAL CORP OF LA","2090","Professional","LA","70814"
"FROST WOODWORKS LLC","2710","Contractor","LA","70802"
"A B R APPLIANCE & MECHANICAL","1525","Retail Dealer","LA","70809"
"GPM CONTROLS INC","1520","Service/Rental/Etc","LA","70808"
"GLORIA BUTLER","1525","Retail Dealer","LA","70811"
"ORNA SHAFFERS SR","2710","Contractor","LA","70820"
"KIM-VI INC","1525","Retail Dealer","LA","70802"
"HOMEOWNERS FINANCIAL SERV INC","1710","Finance Lending","LA","70827"
"BASKEY SYSTEMS INC","1520","Service/Rental/Etc","LA","70817"
"WIRELESS WAREHOUSE","9999","No Occupational License","LA","70123"
"TINA CASHIO","1520","Service/Rental/Etc","LA","70808"
"JEROME J CHANEY","1525","Retail Dealer","LA","70806"
"RUGMASTERS INC","9999","No Occupational License","LA","70420"
"CYNTHIA BAILEY JACKSON","1525","Retail Dealer","LA","70815"
"CARDINAL HEALTH 109 INC","1525","Retail Dealer","LA","70808"
"LUXOTTICA RETAIL NORTH AMERICA INC","1525","Retail Dealer","LA","70836"
"MESA VISTA","1520","Service/Rental/Etc","LA","70810"
"GLY TECH SERVICES INC","9999","No Occupational License","LA","70058"
"KENNETH SIDES","1520","Service/Rental/Etc","LA","70819"
"TIGERLAND MARKET INC","1525","Retail Dealer","LA","70808"
"SAGNIBENE COMPANIES INC","2090","Professional","LA","70808"
"GAYLYN BARTON","1610","Wholesale Dealer","LA","70814"
"SPECIALTY MEDICAL ELECTRONICS","9999","No Occupational License","LA","70471"
"JAY JALARAM BAPA INC","9999","No Occupational License","LA","70805"
"BARRY ADDISON","9999","No Occupational License","LA","70043"
"CHARLES W MYERS JR","1520","Service/Rental/Etc","LA","70806"
"OK CHOI","1525","Retail Dealer","LA","70808"
"MARTHA SEALY","1520","Service/Rental/Etc","LA","70810"
"PERCIVAL DYER","1520","Service/Rental/Etc","LA","70807"
"CROSS COMMUNICATIONS INC","9999","No Occupational License","LA","70438"
"HAYWARD S HARVEY JR","1520","Service/Rental/Etc","LA","70811"
"LAUREL DOUCET","1520","Service/Rental/Etc","LA","70809"
"TRINKET BOX LLC","1525","Retail Dealer","LA","70814"
"GEORGE NEWPORT","1520","Service/Rental/Etc","LA","70820"
"BOWIE & BOWIE ENTERPRISES INC","1525","Retail Dealer","LA","70805"
"CONSTERDINE COOKIE COMAPNY","1525","Retail Dealer","LA","70809"
"CARBER TESTING OHIO INC","1520","Service/Rental/Etc","LA","70809"
"SOUND & CINEMA LLC","1520","Service/Rental/Etc","LA","70809"
"RAYMOND MARCELL JR","1520","Service/Rental/Etc","LA","70815"
"JJ JEFFERSON LLC","1525","Retail Dealer","LA","70809"
"PISCES BAR AND LOUNGE BDOMINO LLC","1525","Retail Dealer","LA","70802"
"AUTOMATIC FASTNERTS  INC","9999","No Occupational License","LA","70062"
"TYNA WILSON","1525","Retail Dealer","LA","70802"
"ZACHARY WAYNE ROMERO","1520","Service/Rental/Etc","LA","70816"
"JASON BELONA","1520","Service/Rental/Etc","LA","70815"
"NOBLE MASSAGE LLC","1520","Service/Rental/Etc","LA","70816"
"HATEC INTERNATIONAL INC","9999","No Occupational License","LA","70401"
"SUPERIOR SUPPLY & STEEL","9999","No Occupational License","LA","70663"
"PATRICIA BROOKS","2640","Retail Autos & Boats","LA","70814"
"JAMES A POCHE MD A LLC","2090","Professional","LA","70809"
"INDECENT EXPOSURE LLC","1520","Service/Rental/Etc","LA","70808"
"GROUP ITALIAN RESTAURANT LLC","1525","Retail Dealer","LA","70809"
"TRITON INDUSTRIES LLC","9999","No Occupational License","LA","70756"
"BAYOU OPHTHALMIC SERVICES","9999","No Occupational License","LA","70123"
"PROTECTION ONE ALARM MONT INC","9999","No Occupational License","LA","70001"
"RAYE O LOGSDON","1520","Service/Rental/Etc","LA","70815"
"BAYOU ROAD LUMBER & HARDWARE","9999","No Occupational License","LA","70765"
"JAMES EVANS","2021","Itinerant Vendor (Parades & Food Vendors)","LA","70810"
"JAMES ESCORT","2640","Retail Autos & Boats","LA","70802"
"JANICE F DURNIN","1525","Retail Dealer","LA","70817"
"TONER RECYCLERS INC","1520","Service/Rental/Etc","LA","70809"
"MOTIVA ENTERRPRISES LLC","1530","Retail Dealer of Motor Fuels","LA","70808"
"MOTIVA ENTERPRISES LLC","1530","Retail Dealer of Motor Fuels","LA","70810"
"MOTIVA ENTERPRISES LLC","1530","Retail Dealer of Motor Fuels","LA","70809"
"MOTIVA ENTERPRISES LLC","1530","Retail Dealer of Motor Fuels","LA","70808"
"MOTIVA ENTERPRISES LLC","1530","Retail Dealer of Motor Fuels","LA","70817"
"MOTIVA ENTERPRISES LLC","1530","Retail Dealer of Motor Fuels","LA","70816"
"S U MEAT TECHNOLOGY LAB","1525","Retail Dealer","LA","70813"
"M D F ENTERPRISES","1520","Service/Rental/Etc","LA","70815"
"MARSHA RISH","1525","Retail Dealer","LA","70806"
"MOSS ENGINEERING INC","1520","Service/Rental/Etc","LA","70808"
"RICHARD H CAPPO CONSTRUCT INC","2710","Contractor","LA","70809"
"AUDITEL COMMUNICATIONS INC","9999","No Occupational License","LA","70002"
"JOEY LEBLANC","2710","Contractor","LA","70818"
"INTERIOR  BUILDING SUPPLY INC","1610","Wholesale Dealer","LA","70815"
"BASIN RIVER ELECTRICAL LLC","9999","No Occupational License","LA","70765"
"JLL LLC","1525","Retail Dealer","LA","70810"
"DR PAUL EDWARD MATTHEWS","2090","Professional","LA","70806"
"R GRAY SEXTON","2090","Professional","LA","70810"
"DAN SCHUERMANN","2090","Professional","LA","70817"
"ALLRIGHT BATON ROUGE INC","1520","Service/Rental/Etc","LA","70802"
"G L S SERVICES LLC","1520","Service/Rental/Etc","LA","70814"
"LA CHEM PIPE VALVE & FITTING I","1525","Retail Dealer","LA","70815"
"PHILLIPS ABITA LUMBER CO INC","9999","No Occupational License","LA","70420"
"EMILE F KENNEDY  JRS","1520","Service/Rental/Etc","LA","70816"
"MAISON CASA INCORPORATED","9999","No Occupational License","LA","70508"
"THE LOUISIANA NOTARY ASSOCIATI","9999","No Occupational License","LA","70806"
"PACIFIC SUNWEAR STORES CORP","1525","Retail Dealer","LA","70836"
"PACIFIC SUNWEAR STORES CORP","1525","Retail Dealer","LA","70815"
"BEDDING PLUS LLC","9999","No Occupational License","LA","70002"
"FIRESTOP INTERNATIONAL LLC","9999","No Occupational License","LA","70005"
"SHANNON ENTERPRISES  INC","2710","Contractor","LA","70817"
"GULF COAST WOODWORK LLC","9999","No Occupational License","LA","70506"
"EMBASSY MORTGAGE INC","1820","Commissioned Services","LA","70806"
"ENVOY AIR INC","1525","Retail Dealer","LA","70807"
"TIM ELDER","1520","Service/Rental/Etc","LA","70806"
"RENITA M HALL","1520","Service/Rental/Etc","LA","70816"
"PERSAC PROPERTIES INC","1822","Real Estate Broker","LA","70809"
"JAMES CONSTRUCTION GROUP LLC","2710","Contractor","LA","70809"
"BSL LTD","1520","Service/Rental/Etc","LA","70809"
"ROBERT E WILLIAMS JR","1520","Service/Rental/Etc","LA","70812"
"PETERSON AUTOMOTIVES","2640","Retail Autos & Boats","LA","70809"
"ERROL SAVOIE","1520","Service/Rental/Etc","LA","70820"
"ACADIAN MOBILE HOMES INC","2640","Retail Autos & Boats","LA","70819"
"SULLIVAN OIL COMPANY","1530","Retail Dealer of Motor Fuels","LA","70817"
"DIRTY SOUTH ENTERTAINMENT INC","1520","Service/Rental/Etc","LA","70815"
"IMAGING AFFILIATES OF BR","1520","Service/Rental/Etc","LA","70809"
"DANICA WOODY","1525","Retail Dealer","LA","70810"
"THAT VAN DINH","1520","Service/Rental/Etc","LA","70816"
"ORGANIZERS INC","1520","Service/Rental/Etc","LA","70810"
"BRIGHTON ACADEMY","9999","No Occupational License","LA","70816"
"CHRISTOPHER A JOSEPH","2710","Contractor","LA","70808"
"DAVID TULLIER","1520","Service/Rental/Etc","LA","70809"
"REBECCA W CROCKETT APC","1520","Service/Rental/Etc","LA","70808"
"GREELY JACOBS ENTERPRISES LLC","1520","Service/Rental/Etc","LA","70815"
"DONNA KLEINPETER","2090","Professional","LA","70809"
"SOUTHERN HOSPITALITY INTNL INC","1520","Service/Rental/Etc","LA","70815"
"DAO VU","1520","Service/Rental/Etc","LA","70817"
"C & C ENTERPRISE INC BATON ROU","1520","Service/Rental/Etc","LA","70810"
"JAZZ IT UP INCORPORATED","1520","Service/Rental/Etc","LA","70820"
"CHRISTOPHER CAGLE","1520","Service/Rental/Etc","LA","70814"
"HOME DEPOT USA INC","1525","Retail Dealer","LA","70815"
"CAROL J GUTHRIE","1520","Service/Rental/Etc","LA","70806"
"SOUTHEAST TELECOM INC","9999","No Occupational License","LA","70062"
"DENNIS MANNINO","2710","Contractor","LA","70814"
"JERRY BOUDINOT CONST LLC","2710","Contractor","LA","70810"
"CUSTOM HEALTH CARE INC","1525","Retail Dealer","LA","70809"
"LOUISIANA LIMO INC","1520","Service/Rental/Etc","LA","70815"
"THE ANGELUS","9999","No Occupational License","LA","71303"
"""NYS DRAINAGE, PAVING & OUTDOOR CONSTRUCTION LLC""","1520","Service/Rental/Etc","LA","70809"
"MILLERS FORMALS INC","1525","Retail Dealer","LA","70815"
"HAZEL WILKINS","9999","No Occupational License","LA","70739"
"BIO MED OF LOUISIANA","9999","No Occupational License","LA","70003"
"R & R GENERATOR & ELECTRICAL S","9999","No Occupational License","LA","70507"
"NOA CLAIMS & REPAIR SER LLC","9999","No Occupational License","LA","70117"
"DOLGENCORP INC","1525","Retail Dealer","LA","70816"
"CELESTE CLARK","1520","Service/Rental/Etc","LA","70808"
"SOUR DOUGH BOYS LLC","1525","Retail Dealer","LA","70816"
"SIGN EXPRESS","1520","Service/Rental/Etc","LA","70809"
"PSYCHIATRIC MGMT SERVICES INC","1520","Service/Rental/Etc","LA","70801"
"DONNA LEBLANC HONORE","1520","Service/Rental/Etc","LA","70811"
"PERFORMANCE FUNDING LLC","1820","Commissioned Services","LA","70816"
"CHAD LACOUR DDS","2090","Professional","LA","70810"
"WALKER HEALTHCARE CONSUL INC","2090","Professional","LA","70808"
"PREMIER MARKETING ASSOC LTD PT","9999","No Occupational License","LA","71106"
"JACKSONS PRESCHOOL & CDC INC","1520","Service/Rental/Etc","LA","70805"
"KEVIN BELL","1525","Retail Dealer","LA","70817"
"RITZ CAMERA CENTERS INC","1525","Retail Dealer","LA","70815"
"DENNIS HAYES","1520","Service/Rental/Etc","LA","70806"
"SONYA BOZEMAN","1525","Retail Dealer","LA","70817"
"NGO & TRAN INC","1525","Retail Dealer","LA","70807"
"NGO FAMILY INC","1525","Retail Dealer","LA","70802"
"GERARD HONORE","2710","Contractor","LA","70810"
"C D CONSULTING INC","1520","Service/Rental/Etc","LA","70817"
"GENERAL SAND & GRAVEL CO INC","9999","No Occupational License","LA","70739"
"DECUIR BRICK MASONRY INC","2710","Contractor","LA","70810"
"JO ANN AUGUSTUS","2090","Professional","LA","70817"
"RSC INDUSTRIAL CORPORATION","9999","No Occupational License","LA","70062"
"PKL WASH LLC","1520","Service/Rental/Etc","LA","70811"
"JAMES D HARRIS JR","1525","Retail Dealer","LA","70815"
"COASTAL FOOT CLINIC PC","2090","Professional","LA","70816"
"MATTHEWS TRUCK LEASING  INC","1520","Service/Rental/Etc","LA","70805"
"TERRY D SMITH","1520","Service/Rental/Etc","LA","70791"
"RUTH HALL","2710","Contractor","LA","70714"
"JOSEPH JONES","1520","Service/Rental/Etc","LA","70815"
"ALBERT A COLLINS","1520","Service/Rental/Etc","LA","70816"
"MICHAEL WILBANKS","1520","Service/Rental/Etc","LA","70816"
"T & Y LE INC","1525","Retail Dealer","LA","70808"
"ANNABEL SERVAT","9999","No Occupational License","LA","70801"
"PATRICK S MOOCK","1525","Retail Dealer","LA","70806"
"WEDGE WOOD CLEANERS INC","9999","No Occupational License","LA","70739"
"LA RHYTHMS MUSIC","1525","Retail Dealer","LA","70810"
"EVANS EQUIPMENT & ENVIRO OF BR","1525","Retail Dealer","LA","70815"
"TONIA LEWIS","1520","Service/Rental/Etc","LA","70805"
"GAR HOLDINGS LLC","1520","Service/Rental/Etc","LA","70806"
"CHECK INTO CASH OF LA INC","1710","Finance Lending","LA","70815"
"FLUID SYSTEMS INC","9999","No Occupational License","LA","70037"
"LIGHTNING CAR CARE LLC","1520","Service/Rental/Etc","LA","70815"
"CLYDE G BLADES","9999","No Occupational License","LA","70714"
"JIMSTONE CO OF LOUISIANA INC","1525","Retail Dealer","LA","70819"
"BIG VENTURES LLC","1520","Service/Rental/Etc","LA","70808"
"MOTIVA ENTERPRISES LLC","1530","Retail Dealer of Motor Fuels","LA","70808"
"""GLOBAL ENTERPRIZE OF BAKER, LLC""","9999","No Occupational License","LA","70714"
"NEXSTAR INC","9999","No Occupational License","LA","70002"
"COMPASS FINANCIAL CONSULT LLC","2090","Professional","LA","70817"
"SIEMENS INDUSTRY INC","9999","No Occupational License","LA","70062"
"LUNDIN ROOFING COMPANY LLC","9999","No Occupational License","LA","70767"
"HOWARD WESTERMAN JR","9999","No Occupational License","LA","71107"
"FEDUCCIA & CO INC","2090","Professional","LA","70806"
"LION CONSULTING INC","9999","No Occupational License","LA","70460"
"CATHY GRIFFIN","1525","Retail Dealer","LA","70816"
"K & B LOUISIANA CORPORATION","1525","Retail Dealer","LA","70817"
"SONJA LOYD","1525","Retail Dealer","LA","70805"
"EDIE SOTOR REALTY LLC","1822","Real Estate Broker","LA","70816"
"SHAW & SHAW","1525","Retail Dealer","LA","70806"
"RDET ENTERPRISES LLC","1520","Service/Rental/Etc","LA","70815"
"THEOLA SMITH","9999","No Occupational License","LA","70791"
"SPENCER WILSON","9999","No Occupational License","LA","70714"
"SCILL ENTERPRISES LLC","9999","No Occupational License","LA","70808"
"MAMOU PRAIRIE BAND INC","9999","No Occupational License","LA","70592"
"DELTA TRAILER INC","9999","No Occupational License","LA","70734"
"ABDELJALIL ABDELHAKIM","2640","Retail Autos & Boats","LA","70815"
"FRANK J DUPONT","1520","Service/Rental/Etc","LA","70816"
"LAWRENCE CHISHOLM","1520","Service/Rental/Etc","LA","70816"
"MARK LOCOCO","1520","Service/Rental/Etc","LA","70809"
"RANDELL STUBBERFIELD","9999","No Occupational License","LA","70764"
"CATALYST PROCESS SPECIALISTS","1520","Service/Rental/Etc","LA","70816"
"MAHAVIR ENTERPRISES INC","1530","Retail Dealer of Motor Fuels","LA","70806"
"HEAP ROOFING INDUSTRIES INC","2710","Contractor","LA","70814"
"THE ONEAL LEGAL CLINIC LLC","2090","Professional","LA","70810"
"THANH INC","1525","Retail Dealer","LA","70812"
"LOGEAUX INC","1525","Retail Dealer","LA","70809"
"CHARLES E LARSEN","2710","Contractor","LA","70808"
"BALFOUR HOUSE R & G LLC","1525","Retail Dealer","LA","70808"
"KINGS JANITORIAL SERVICE","1520","Service/Rental/Etc","LA","70791"
"JOHN MICHAEL GULLEDGE","1525","Retail Dealer","LA","70809"
"ALFRED R GOUGH","1520","Service/Rental/Etc","LA","70816"
"LOU VANNA POPE","9999","No Occupational License","LA","70714"
"LYNETTE GRAYSON HONEY","1520","Service/Rental/Etc","LA","70810"
"MIRAJ ENVIROTEK INC","2090","Professional","LA","70810"
"DISTRIBUTOR WAREHOUSE INC","1610","Wholesale Dealer","LA","70809"
"TAM H PHAM","1520","Service/Rental/Etc","LA","70811"
"WURTH LOUIS & COMPANY","1525","Retail Dealer","LA","70817"
"EDWARD KOCH","9999","No Occupational License","LA","70801"
"DRAKE CONTRACTORS LLC","2710","Contractor","LA","70802"
"SINGLETON  TAMMY","1520","Service/Rental/Etc","LA","70812"
"TOBIAS MIESING","1520","Service/Rental/Etc","LA","70808"
"JTG ENTERPRISE INC","1520","Service/Rental/Etc","LA","70808"
"JTG ENTERPRISES INC","1520","Service/Rental/Etc","LA","70817"
"JTG ENTERPRISE INC","9999","No Occupational License","LA","70739"
"PARNELL MARBLE LLC","9999","No Occupational License","LA","70791"
"MASSENGALE GROUNDS MGMT INC","1520","Service/Rental/Etc","LA","70816"
"ROBINSON EQUIPMENT CO LLC","9999","No Occupational License","LA","70769"
"RITE ON TIME MEDICAL TRAN INC","1520","Service/Rental/Etc","LA","70802"
"UTILIQUEST LLC","1520","Service/Rental/Etc","LA","70816"
"BASCO & JOACHIM","2090","Professional","LA","70806"
"RONNIE HENDERSON","1520","Service/Rental/Etc","LA","70811"
"SYSTEM RESOURCES INC","1520","Service/Rental/Etc","LA","70816"
"HUONG NGUYEN","1520","Service/Rental/Etc","LA","70816"
"LOUISIANA WOMENS HEALTHCARE ASSOCIATES LLC","2090","Professional","LA","70817"
"CHARLOTTE BALFOUR","1520","Service/Rental/Etc","LA","70817"
"THE CLOCK DOCTOR LLC","1525","Retail Dealer","LA","70817"
"C & I CLEANING SERVICE INC","1520","Service/Rental/Etc","LA","70706"
"LENA LE INC","1530","Retail Dealer of Motor Fuels","LA","70805"
"MARKS BROS JEWELERS INC","1525","Retail Dealer","LA","70815"
"SUPERIOR CONTRACTING SERV INC","2710","Contractor","LA","70815"
"CARROLL & CARROLL INNOVAT LLC","1520","Service/Rental/Etc","LA","70806"
"LAURENCE J CONKERTON","1520","Service/Rental/Etc","LA","70806"
"PETS MART INC","1525","Retail Dealer","LA","70815"
"WOODY MANSUN","1525","Retail Dealer","LA","70802"
"KENNYS TRANSMISSION LLC","1520","Service/Rental/Etc","LA","70806"
"L SUZANNE ANTOON","9999","No Occupational License","LA","70818"
"HEZEKIAH BROWN  JR","1525","Retail Dealer","LA","70802"
"THE SEAVER LAW FIRM LLC","2090","Professional","LA","70816"
"ARTHURS JEWELRY INC","1525","Retail Dealer","LA","70805"
"SUNSHINE ELECTRIC INC","2710","Contractor","LA","70815"
"INDUSTRIAL SALVAGE","9999","No Occupational License","LA","70767"
"JAGGS DEN INC","1525","Retail Dealer","LA","70805"
"ALFRA BRUMFIELD","1520","Service/Rental/Etc","LA","70811"
"INTERIOR CONCEPTS OF BR LLC","1520","Service/Rental/Etc","LA","70809"
"BABY E D INC","1525","Retail Dealer","LA","70810"
"BLOCKBUSTER VIDEO INC","1520","Service/Rental/Etc","LA","70810"
"BLOCKBUSTER INC","1520","Service/Rental/Etc","LA","70802"
"BLOCKBUSTER INC","1520","Service/Rental/Etc","LA","70806"
"BLOCKBUSTER INC","1520","Service/Rental/Etc","LA","70816"
"BLOCKBUSTER INC","1520","Service/Rental/Etc","LA","70815"
"BLOCKBUSTER INC","1520","Service/Rental/Etc","LA","70817"
"BLOCKBUSTER INC","1520","Service/Rental/Etc","LA","70791"
"SMOKERS BREAK INC","1525","Retail Dealer","LA","70816"
"COMPUTER CONSULTING SERV LLC","1525","Retail Dealer","LA","70810"
"SERRANOS HIGHLAND LLC","1525","Retail Dealer","LA","70802"
"CURRYS CONCRETE CUTTERS LLC","2710","Contractor","LA","70714"
"LAPORTES AUTO PAINT & BODY INC","1520","Service/Rental/Etc","LA","70816"
"DAVID M LEMIEUX CONSTRUCT INC","2710","Contractor","LA","70816"
"ELIZABETH H GUERRERO DDS","2090","Professional","LA","70816"
"ARTISANS GARDEN INC","1520","Service/Rental/Etc","LA","70808"
"CKJ INC","1525","Retail Dealer","LA","70811"
"NURSEFINDERS INC","1520","Service/Rental/Etc","LA","70816"
"CLIFFORDS LAWNMOWER REPAIR II INC","1520","Service/Rental/Etc","LA","70810"
"LENA DIANN CARTER","1520","Service/Rental/Etc","LA","70714"
"BARBARA SCHMITTZEHE","1525","Retail Dealer","LA","70810"
"SIGN TECH INC","9999","No Occupational License","LA","70123"
"CECILE M CAMPBELL","1520","Service/Rental/Etc","LA","70802"
"TOI & CYNDI NGUYEN INC","2090","Professional","LA","70808"
"CRAIG PUCKETT","1520","Service/Rental/Etc","LA","70817"
"NOLA MAE WITTLER","9999","No Occupational License","LA","70605"
"MIKE DOIRON","1520","Service/Rental/Etc","LA","70809"
"CHAUDWICK WILLIAMS","1520","Service/Rental/Etc","LA","70805"
"BROOKS A ROY","2090","Professional","LA","70809"
"FOX & HOUND OF LA INC","1525","Retail Dealer","LA","70808"
"CAVANAUGH & CO","1610","Wholesale Dealer","LA","70815"
"WATTS SEELING INC","1525","Retail Dealer","LA","70816"
"ALLISON BONNETTE","1520","Service/Rental/Etc","LA","70819"
"LARRY DANIELS","2710","Contractor","LA","70815"
"BUSINESS TELEPHONE SYSTEM LLC","9999","No Occupational License","LA","70065"
"NGOCLAN NGUYEN","1520","Service/Rental/Etc","LA","70810"
"CEE GEE REALTY LLC","1822","Real Estate Broker","LA","70814"
"WILLIAM A MELKILD","1520","Service/Rental/Etc","LA","70816"
"ALEXANDER NICASSIO","1520","Service/Rental/Etc","LA","70806"
"PRINCE WAREHOUSE LLC","1520","Service/Rental/Etc","LA","70805"
"JELD WEN INC","9999","No Occupational License","LA","70189"
"STAGE I CATERING LLC","1525","Retail Dealer","LA","70816"
"REGIONAL P T & REHAB CLINIC","2090","Professional","LA","70806"
"JULIA ST CHARLES INC","1525","Retail Dealer","LA","70802"
"WOLFPACK INC","1520","Service/Rental/Etc","LA","70809"
"STYLE LAB FOR MEN OF BATON ROUGE LLC","1525","Retail Dealer","LA","70802"
"DR AIMEE RUSSO MOUNGER","2090","Professional","LA","70809"
"LIONEL J KEY JR","1525","Retail Dealer","LA","70802"
"PREMIER RESTAURANT OPERATIONS LLC","1525","Retail Dealer","LA","70808"
"DONALD BOOKER","2710","Contractor","LA","70814"
"BROUILLETTE INC","9999","No Occupational License","LA","70776"
"ASTRO PRODUCTS INC","9999","No Occupational License","LA","70558"
"PPM CONSULTANTS INC","2090","Professional","LA","70809"
"RODERICK L SELDERS","1520","Service/Rental/Etc","LA","70805"
"LOC FOOD INC","1530","Retail Dealer of Motor Fuels","LA","70805"
"DELANDO R BRASS","1520","Service/Rental/Etc","LA","70815"
"NEW LOOK CLEANING INC","1520","Service/Rental/Etc","LA","70809"
"C & L AQUA PROFESSIONALS INC","9999","No Occupational License","LA","70665"
"VINCES LIQUOR INC","1525","Retail Dealer","LA","70807"
"RICHARD CHAMBERS","1525","Retail Dealer","LA","70812"
"IMAGING CENTER OF LOUISIANA","1520","Service/Rental/Etc","LA","70809"
"RANDAL SMITH  &  BARBARA  A SMITH","1525","Retail Dealer","LA","70817"
"WACO ASSOCIATES","1610","Wholesale Dealer","LA","70809"
"CLEGGS NURSERY LLC","1525","Retail Dealer","LA","70806"
"CLEGGS NURSERY LLC","1525","Retail Dealer","LA","70809"
"CLEGGS NURSERY LLC","1525","Retail Dealer","LA","70814"
"BATON ROUGE HARBOR SERVICE INC","1520","Service/Rental/Etc","LA","70802"
"DEDICATED LENDING INC","1710","Finance Lending","LA","70815"
"HOT TOPIC INC","1525","Retail Dealer","LA","70815"
"SHAFFERS & SHAFFERS","1525","Retail Dealer","LA","70805"
"MARIANNE USPR INC","1525","Retail Dealer","LA","70815"
"COMPUTER WIZARDS LLC","1525","Retail Dealer","LA","70809"
"THI CAO KHOE","9999","No Occupational License","LA","70818"
"MEENA SACHDEV","1520","Service/Rental/Etc","LA","70809"
"SOUTHEAST FLOORING LLC","1525","Retail Dealer","LA","70815"
"CAJUN INJECTOR INC","9999","No Occupational License","LA","70722"
"MICHAEL SHEPHERD","1520","Service/Rental/Etc","LA","70809"
"JOHN W STONE OIL DISTB LLC","1610","Wholesale Dealer","LA","70820"
"TANNER TRUCKING INC","1520","Service/Rental/Etc","LA","70809"
"PREFERRED CAPITAL CORP","1520","Service/Rental/Etc","LA","70809"
"R & R FOODS LLC","1525","Retail Dealer","LA","70817"
"TIRE TEAM MARKETING LLC","1520","Service/Rental/Etc","LA","70815"
"LOGICAL DECISIONS INC","1610","Wholesale Dealer","LA","70815"
"BLAKE MEDINE","1520","Service/Rental/Etc","LA","70817"
"DAVID FRANKLIN","1520","Service/Rental/Etc","LA","70802"
